attributnamn	value	Definition
bestallare_tx	SORSELE	Sorsele kommun
bestallare_tx	SSAB_OE_OH	SSAB, Oxelö Energi och Oxelösunds Hamn
bestallare_tx	SSC	Svenska rymdaktiebolaget (Swedish Space Corporation, SSC)
bestallare_tx	STRUCT_MILJO_OST	Structor Miljö Öst AB
bestallare_tx	SU	Stockholms universitet
bestallare_tx	SUNDSVALL	Sundsvalls kommun
bestallare_tx	SVVAEKOAB	Sveriges Vattenekologer AB
bestallare_tx	SVVF	Svealands kustvattenvårdsförbund
bestallare_tx	SWECO	Sweco Sverige AB (Sweco Environment AB till 2021-01-04)
bestallare_tx	SYDKVVF	Sydkustens vattenvårdsförbund
bestallare_tx	TIERP	Tierps kommun
bestallare_tx	TOXICON	ALS Toxicon AB
bestallare_tx	TVVF	Tidans vattenvårdsförbund
bestallare_tx	TYRESANS_VVF	Tyresåns vattenvårdsförbund (VVF) 
bestallare_tx	UDDEVALLA	Uddevalla kommun
bestallare_tx	UMU	Umeå universitet
bestallare_tx	UMU_KEM_INST	Umeå universitet, Kemiska institutionen
bestallare_tx	UU	Uppsala Universitet
bestallare_tx	VASTERVIK	Västerviks kommun
bestallare_tx	VAXJO	Växjö kommun
bestallare_tx	VIAK	VIAK, SWECO-VIAK
bestallare_tx	VIVAB	VIVAB (Vatten & Miljö i Väst AB)
bestallare_tx	VM_NOVD	Vattenmyndigheten i Norra Östersjöns vattendistrikt
bestallare_tx	VM_SOVD	Vattenmyndigheten i Södra Östersjöns vattendistrikt
bestallare_tx	VVFVH	Vattenvårdsförbundet för västra Hanöbukten
bestallare_tx	WSP	WSP Sverige AB
bestallare_tx	KAUNIS_IRON	Kaunis Iron AB
undersokningstyp_tx	BiolEffOvervOrgTenn	Biologisk effektövervakning av organiska tennföreningar
undersokningstyp_tx	HalsaKustfisk	Hälsotillstånd hos kustfisk
undersokningstyp_tx	Havsorn_Bestand	Havsörn, bestånd
undersokningstyp_tx	Ingen	Ingen övervakningsmanual har använts
undersokningstyp_tx	MetMossa	Metaller i mossa
undersokningstyp_tx	MetOrgMiljogAggSillgr	Metaller och organiska miljögifter i ägg av sillgrissla
undersokningstyp_tx	MetOrgMiljogAlg	Metaller och organiska miljögifter i älg (utgått); 2000-2015
undersokningstyp_tx	MetOrgMiljogBlamusla	Metaller och organiska miljögifter i blåmussla
undersokningstyp_tx	MetOrgMiljogFisk_KOH	Metaller och organiska miljögifter i fisk (Kust och Hav)
undersokningstyp_tx	MetOrgMiljogFisk_SjoVattDr	Metaller och organiska miljögifter i fisk från sjöar och vattendrag
undersokningstyp_tx	MetOrgMiljogRen	Metaller och organiska miljögifter i ren (utgått); (2000-2015)
undersokningstyp_tx	MetOrgMiljogSed	Metaller och organiska miljögifter i sediment
undersokningstyp_tx	MetSed	Metaller i sediment
